"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"R12";"10K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R13";"10K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R14";"10K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R15";"10K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R16";"10K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R17";"100K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R18";"10K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R19";"10";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R20";"10K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R21";"10K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R22";"10K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R23";"10K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R24";"47K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R25";"47K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R26";"100K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R27";"1.65K";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"R28";"470K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R29";"470K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R30";"10K";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"R31";"10K";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"R32";"1";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"R33";"10K";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"R34";"10K";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"R35";"10K";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"R36";"10K";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"R37";"1";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"R38";"10K";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"R39";"220K";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"R40";"220K";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"R41";"100";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
